video_id,item_id,release_date,status,channel_id,channel_name,subscribers,views,likes,comments,duration,live_status
4qmaGSF9rYE,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5GNEI2QjE5MzFENjA0NkIy,2023-01-13 15:00:03+00:00,public,UCPk3RMMXAfLhMJPFpQhye9g,Tiësto,6360000,68440,2054,196,3625.0,none
UVVnXZ1X6E0,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5CMjVGMjg5MDA1MkQ0M0E2,2023-01-13 16:00:17+00:00,public,UCOxqgCwgOqC2lMqC5PYz_Dg,Chillhop Music,3280000,34535,1040,65,1404.0,none
AF8LACWLGLU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45Q0JFOEYzNzUyM0Y2RTY2,2023-01-13 21:00:06+00:00,public,UCmKm7HJdOfkWLyml-fzKlVg,Afrojack,2540000,7003,278,17,3575.0,none
XjLHq0gYALE,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44MkY1MEMyNUEyQUFGRDI3,2023-01-13 21:10:05+00:00,public,UCVE-ybBDg3UHSUylEVdPAsw,Above & Beyond,979000,56555,1248,82,7205.0,none
wz77aNXjGqo,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zOENBNjA4M0FBRDg3REY1,2023-01-13 23:37:53+00:00,public,UCd61k-5ykv_4RIbQg-Mpvrg,Timmy Trumpet,615000,12640,382,102,3605.0,none
JmWVT2FiHZE,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4wQzdBQjkyNzZCRjk3QkE2,2023-01-14 07:07:06+00:00,public,UCGXkgynD9YyoEIVyqpaUElw,Enhanced Music,91600,1453,67,5,7205.0,none
FyiTA2ypY-E,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5BMDMwRjNBNEU3NDhBNzYz,2023-01-14 12:00:15+00:00,public,UCalCDSmZAYD73tqVZ4l8yJg,A State Of Trance,785000,30409,1586,158,3051.0,none
k6Tfwm_syao,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45MEE2MTY2RTFCOTNEODky,2023-01-14 15:00:25+00:00,public,UCuCFbUOszL3QkYVUWZzKH8Q,Musical Freedom,724000,2304,98,5,3548.0,none
B9jZpLS7Q80,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zNEQwMDM4RTQxNEQ0QTI3,2023-01-14 16:00:08+00:00,public,UCtZZIenge-VfCE1eAXgLd4g,Culture Shock by Vintage Culture,10700,5017,235,37,3537.0,none
Bmif8ssj2uI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xQTVBMDg2MDVFMTVEMTdD,2023-01-14 17:00:09+00:00,public,UC-EVnno6x6-aAG6g1ZVoN3A,Oliver Heldens,841000,21281,521,63,5709.0,none
